('HH205535', '170312609001009')
('HH205720', '170313504001008')
('HH206795', '170312415003011')
('HH207274', '170312315001001')
('HH207311', '170318347002018')
('HH207311', '170318347002018')
('HH207435', '170316713003001')
('HH207983', '170316121001006')
('HH209260', '170312604001032')
('HH211040', '170316715003019')
('HH211338', '170312213003013')
('HH212130', '170318351003000')
('HH215105', '170318368001009')
('HH216168', '170314401012001')
('HH216219', '170314401012001')
('HH217148', '170314802001000')
('HH220638', '170315303002021')
('HH223398', '170312312001013')
('HH230931', '170314503001028')
('HH232668', '170316701001013')
('HH232986', '170311906023015')
('HH233509', '170314409002019')
('HH235648', '170312513005000')
('HH237332', '170312513003000')
('HH240444', '170311909001008')
('HH241047', '170318383001005')
('HH243265', '170318307001002')
('HH245278', '170312519002013')
('HH245450', '170318412002037')
('HH245450', '170318412002037')
('HH246937', '170314503003021')
('HH249066', '170316914001002')
('HH249096', '170316114001008')
('HH251081', '170312207013012')
('HH251391', '170312705001037')
('HH253040', '170316903002013')
('HH254048', '170316910001001')
('HH257532', '170314005002009')
('HH257615', '170316811001002')
('HH257676', '170318413002017')
('HH257676', '170318413002017')
('HH257676', '170318413002017')
('HH259717', '170313107001014')
('HH260295', '170318435001023')
('HH261329', '170314207005010')
('HH261672', '170318383001005')
('HH263021', '170316715003032')
('HH267185', '170318434001019')
('HH267565', '170312513004002')
('HH268318', '170314314003010')
('HH269798', '170312922001006')
('HH269870', '170318412003009')
('HH270572', '170316103003028')
('HH272105', '170313008002003')
('HH273192', '170318412003009')
('HH275072', '170310707002002')
('HH276121', '170318429002000')
('HH277746', '170314301022002')
('HH279592', '170316715001015')
('HH279713', '170318373001011')
('HH280024', '170317004014010')
('HH280696', '170316813002011')
('HH282149', '170316720001006')
('HH283563', '170312605001004')
('HH284451', '170312315002001')
('HH285000', '170312518001006')
('HH285733', '170316811003009')
('HH285851', '170314409001020')
('HH287937', '170310404023010')
('HH294366', '170314913001007')
('HH296357', '170315802001035')
('HH296924', '170317102001004')
('HH300459', '170315101002020')
('HH301285', '170316503021008')
('HH301285', '170316503021008')
('HH301377', '170316812003013')
('HH303853', '170318343002045')
('HH305405', '170314803001005')
('HH306710', '170312315003000')
('HH307831', '170312209011009')
('HH308907', '170312305002004')
('HH312182', '170312506001001')
('HH314072', '170317107002012')
('HH314210', '170318356002008')
('HH315790', '170318313001035')
('HH316330', '170318397003020')
('HH316539', '170313904002001')
('HH316770', '170310317001001')
('HH316888', '170318340002019')
('HH320862', '170314601004009')
('HH321998', '170313801001031')
('HH322773', '170312519004002')
('HH326901', '170316813001019')
('HH326982', '170312507002001')
('HH327127', '170318383001005')
('HH332622', '170318388002127')
('HH333070', '170318212001018')
('HH333192', '170318367001010')
('HH335929', '170312808001013')
('HH337462', '170312718001005')
('HH339746', '170312606002009')
('HH344931', '170312517001007')
('HH346309', '170310321004000')
('HH346650', '170318391001036')
('HH347787', '170316702001023')
('HH347859', '170318410001040')
('HH348031', '170312507005014')
('HH348220', '170314910004005')
('HH348262', '170318429004085')
('HH350162', '170312909002006')
('HH352548', '170316104001000')
('HH353614', '170314313013008')
('HH354226', '170318400001012')
('HH356513', '170314306001004')
('HH356796', '170316811002008')
('HH358668', '170316110001014')
('HH358970', '170317302022008')
('HH361418', '170313817001000')
('HH364040', '170316112002006')
('HH365316', '170315806003000')
('HH365562', '170313106001021')
('HH367441', '170318350002002')
('HH367666', '170316810002003')
('HH367879', '170318309001020')
('HH372236', '170312209012001')
('HH372327', '170318429002003')
('HH374701', '170312301001015')
('HH377524', '170318359003005')
('HH379571', '170314904001025')
('HH381112', '170315103001014')
('HH381450', '170315001003010')
('HH381659', '170317105001000')
('HH383162', '170318314001002')
('HH383192', '170316914004010')
('HH384625', '170312305001009')
('HH385295', '170312507003008')
('HH385610', '170315602001003')
('HH386860', '170318347002000')
('HH387442', '170318429003005')
('HH388033', '170314804004000')
('HH391141', '170314201001011')
('HH394591', '170312432002000')
('HH396813', '170312520004011')
('HH396931', '170314402022001')
('HH397073', '170312508001015')
('HH398374', '170315401023005')
('HH398639', '170317307002029')
('HH399445', '170315001003008')
('HH399792', '170316718001023')
('HH400778', '170316704001021')
('HH403409', '170314005001015')
('HH410612', '170318429002000')
('HH410636', '170312516003010')
('HH411508', '170310101002008')
('HH413092', '170310707002002')
('HH414131', '170316805001013')
('HH417546', '170314205002005')
('HH418277', '170318344002004')
('HH418896', '170318424001000')
('HH419191', '170318410001040')
('HH421821', '170318429002000')
('HH424176', '170314313011003')
('HH424396', '170318418002035')
('HH425288', '170315102002003')
('HH426967', '170318342004016')
('HH427947', '170313106001011')
('HH428330', '170318369001000')
('HH428655', '170312606001003')
('HH430277', '170310707002002')
('HH430816', '170313104001005')
('HH432627', '170312209022009')
('HH433911', '170313812002013')
('HH435442', '170318346004041')
('HH435680', '170312307002015')
('HH435776', '170312517001024')
('HH435955', '170310313004003')
('HH439249', '170314805001015')
('HH440086', '170318422001056')
('HH440370', '170318422001052')
('HH440588', '170312411001006')
('HH440773', '170310202003004')
('HH440773', '170310202003004')
('HH442587', '170314314003005')
('HH442667', '170317114002016')
('HH447119', '170317005022000')
('HH447144', '170315802002016')
('HH447396', '170313511003000')
('HH449520', '170311407021005')
('HH450900', '170312506004019')
('HH453672', '170316610001000')
('HH454025', '170312516003015')
('HH454035', '170314205001000')
('HH454055', '170317114001020')
('HH456271', '170314207003006')
('HH458624', '170312002002021')
('HH458711', '170318324001000')
('HH459066', '170312705001001')
('HH460411', '170312426002000')
('HH460538', '170318343002025')
('HH460597', '170315501006011')
('HH460868', '170312210002007')
('HH461078', '170312518001009')
('HH461078', '170312518001009')
('HH462829', '170312226001014')
('HH462985', '170318403001020')
('HH462985', '170318403001019')
('HH470866', '170312205001020')
('HH470866', '170312205001020')
('HH472506', '170317105001010')
('HH474716', '170312607001003')
('HH474915', '170312804001038')
('HH476242', '170312520003008')
('HH476789', '170316904003000')
('HH476864', '170312107003017')
('HH476968', '170318349001011')
('HH477070', '170316716002011')
('HH477322', '170312605001005')
('HH477480', '170316809002017')
('HH478886', '170312503001019')
('HH479856', '170318314001042')
('HH481276', '170318434001029')
('HH481575', '170312517001032')
('HH482092', '170317110001007')
('HH483971', '170312809001003')
('HH485645', '170318439002012')
